"Line Number/
мНЛЕП КХМХХ";"Maximum Design Press Mpa g/
лЮЙЯ.ПЮЯВЕРМНЕ ДЮБКЕМХЕ,лоЮ ХГА  ";"Operating Press
Mpa g/
пЮАНВЕЕ ДЮБКЕМХЕ, лоЮ ХГА";"Fluid Medium Group and Pipeline Category per GOST 32569-2013 Tab 5.1
цПСООЮ ЯПЕДШ Х ЙЮРЕЦНПХЪ РПСАНОПНБНДЮ ЯНЦКЮЯМН РЮАКХЖЕ 5.1 цняр 32569-2013 ";"Radiograhic Test/ Ultrasonic Test %/
пЮДХНЦПЮТХВЕЯЙХИ ЙНМРПНКЭ/сКЭРПЮГБСЙНБНИ ЙНМРПНКЭ, %";Liquid penetrant / лagnetic particle test  % / йЮОХККЪПМШИ / ЛЮЦМХРНОНПНЬЙНБШИ ЙНМРПНКЭ %;"Positive Material Identification/
йНМРПНКЭ УХЛХВЕЯЙНЦН ЯНЯРЮБЮ ЛЮРЕПХЮКЮ";"Hardness Test/
хЯОШРЮМХЕ МЮ РБЕПДНЯРЭ"
1-20-851002;0.7;0.2;а(А)-I / B(b)-I;0.2;1;NO/мер;"N/A
м/о"
1-20-851003;0.7;0.2;а(А)-I / B(b)-I;0.2;1;NO/мер;"N/A
м/о"
1-20-851004;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-851005;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-851006;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-851007;0.7;0.2;а(А)-I / B(b)-I;0.2;1;YES/дю;"N/A
м/о"
1-20-891002;1.6;0.6 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
1-20-891003;1.6;0.3 / 0.4 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
1-20-891006;1.6;0.6 / 0.7;"N/A
м/о";0.1;0;NO/мер;"N/A
м/о"
1-20-951001;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-20-951002;1;0.6-0.8;B-III / C-III;0.1;0;YES/дю;"N/A
м/о"
1-11-0B2001;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2002;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2003;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2004;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2005;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2006;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2007;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2008;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2009;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2010;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2011;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2012;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2013;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2014;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2015;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2016;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2017;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2018;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2019;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2020;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2021;9.8;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2022;9.8;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2023;9.8;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2024;9.8;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2025;8.34;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2026;8.34;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2027;8.34;6.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2028;3.6;1.78;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2031;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2032;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2033;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2034;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2035;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2036;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2037;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2038;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2039;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2040;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2041;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2042;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2043;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2044;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2045;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2046;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2047;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2048;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2049;9.8;5.85/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2050;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2051;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2052;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2053;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2054;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2055;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2056;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2057;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2058;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2059;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2060;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2061;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2062;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2063;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2064;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2065;9.8;7.2;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2066;9.8;5.8/7.4;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2067;9.8;5.8/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2068;9.8;5.8/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2069;1;0.79/0.88;B-III/ V-III;0.1;0;YES/дю;"N/A
м/о"
1-11-0B2070;1;0.1/0.2;B-III/ V-III;0.1;0;NO/мер;YES/дю
1-11-0B2071;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2072;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2073;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2074;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2075;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2076;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2077;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2078;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2079;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2080;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2081;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2082;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2083;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2084;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2085;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2086;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2087;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2088;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2089;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2090;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2091;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2092;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2093;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2094;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2095;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2096;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2097;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2098;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2099;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2100;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2104;4;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2105;1;ATM;аЮ-II/ Ba-II;0.1;0;NO/мер;YES/дю
1-11-0B2106;1;ATM;аЮ-II/ Ba-II;0.1;0;NO/мер;YES/дю
1-11-0B2107;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2108;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2109;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2110;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2111;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2112;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2113;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2114;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2115;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2116;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2117;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2119;0.2;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2120;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2121;0.2;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2122;0.2;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2123;0.3;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2124;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2125;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2126;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2127;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2129;9.8;0.05;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2130;9.8;0.05;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2132;9.8;5.80/6.6;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2133;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2135;9.8;5.85/7.40;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-0B2136;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192001;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192002;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192003;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192004;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192005;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192006;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192007;1;0.6/0.8;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192008;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192009;0.2;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192010;0.2;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192011;1.6;0.3;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192012;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192013;1;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192014;0.2;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192015;1.6;0.05/0.3;аА-I/ Bb-I;1;1;NO/мер;YES/дю
1-11-192016;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192017;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192018;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192019;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192020;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192021;9.8;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-192022;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-812001;1.6;1.0;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-812002;1.6;1.0;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-812003;1.6;1.0;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-842001;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842002;9.8;5.80/7.35;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842003;5.2;4.0;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842004;5.2;4.0;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842005;4;3.4/3.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842006;4;3.4/3.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842007;4;3.4/3.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842008;1;0.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842009;1;0.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842010;1;0.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842011;1;0.5;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842012;5.2;0.01;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842013;9.8;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842014;4;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842015;4;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842018;1;ATM;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-842019;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842020;1;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842021;4;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-842022;4;ATM;аЮ-I/ Ba-I;1;1;NO/мер;YES/дю
1-11-872001;1.6;0.2/0.63/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872002;1.6;0.2/0.63/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872003;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872004;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872005;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872006;1.6;0.2/0.43/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872007;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872008;1.6;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872009;1.6;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872010;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872011;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872012;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872013;0.2;ATM;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872014;1.6;0.2/0.63/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872015;1.6;0.2/0.63/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872016;1.6;0.2/0.43/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872017;1.6;0.2/0.63/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872018;1.6;0.2/0.63/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872019;1.6;0.2/0.43/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872020;1.6;0.2/0.43/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-872021;1.6;0.2/0.43/0.884;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892001;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892002;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892003;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892004;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892005;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892006;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892007;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892009;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892011;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892012;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892013;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892014;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892015;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892016;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892019;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892020;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892021;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892022;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892023;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892024;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892025;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892026;1.6;0.6/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-892027;1.6;0.4/0.7;"N/A
м/о";0.03;0;NO/мер;YES/дю
1-11-902001;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902002;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902003;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902004;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902005;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902006;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902007;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902008;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902009;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902010;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902011;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902012;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902013;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902014;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902015;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902016;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902018;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902019;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902020;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902021;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902022;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902023;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902024;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902025;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902026;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902027;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902028;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902029;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902030;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902031;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902032;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902036;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902037;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902038;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902039;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902040;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902041;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902042;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902043;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902044;1;0.01;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902045;1;ATM;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902046;1;ATM;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902047;1;ATM;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902048;1;ATM;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902049;3.6;0.01/1.78;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902050;9.8;0.01/1.78;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902051;9.8;0.01/3.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902052;9.8;0.01/3.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902053;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902054;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902055;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902056;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902057;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902058;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
1-11-902059;9.8;0.01/7.4;аЮ-I/ Ba-I;1;1;YES/дю;"N/A
м/о"
